When_,Which_of_the_following_challeng,Which_of_the_following_challe_1,Which_of_the_following_challe_2,Which_of_the_following_challe_3,Which_of_the_following_challe_4,Which_of_the_following_challe_5,Do_you_like_being_engaged_throu,Do_you_like_being_engaged_thr_1,Do_you_like_being_engaged_thr_2,What_neighborhood_do_you_live_i,What_neighborhood_do_you_live_1,Age___value,Gender___value,Education___value,Country_of_Origin,Preferred_Language,Annual_Income___value,Ballot,Locale,FID
2018-02-16T00:27:51.000Z,1,0,1,0,0,0,1,0,0,Tipp Hill,,19 - 42,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,146
2018-02-08T17:27:34.000Z,0,0,0,0,0,1,1,0,0,Other,,19 - 42,Female,Bachelors Degree,,,,,en,147
2018-02-07T17:30:50.000Z,1,0,-1,0,0,1,1,0,0,Westcott,,43 - 60,Female,Graduate or Professional Degree,,,"$25,000 - $34,999",,en,148
2018-02-08T18:59:17.000Z,0,1,0,0,0,1,1,0,0,I live outside of the City,,43 - 60,Male,Graduate or Professional Degree,USA,English,"$150,000 - $199,999",,en,149
2018-02-15T21:48:20.000Z,1,0,0,-1,0,1,0,1,0,Hawley Green,,19 - 42,Female,Associates Degree,,,"$15,000 - $24,999",,en,150
2018-02-09T16:33:49.000Z,0,0,1,1,0,0,0,1,0,Westcott,,43 - 60,Female,Graduate or Professional Degree,,,,,en,151
2018-02-20T16:25:58.000Z,0,1,0,0,1,0,0,0,0,Near Eastside,,> 60,Female,Graduate or Professional Degree,,,,,en,152
2018-02-07T15:42:09.000Z,0,1,0,0,1,0,0,1,0,Sedgwick,,> 60,Female,Bachelors Degree,United States,English,"$75,000 - $99,999",,en,153
2018-02-20T15:24:48.000Z,1,0,0,1,0,0,0,0,0,Northside,,43 - 60,Male,High School or GED,,,,,en,154
2018-01-31T23:38:55.000Z,1,0,1,0,0,0,1,0,0,Strathmore,,19 - 42,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,155
2018-02-07T23:54:46.000Z,0,0,0,1,1,0,0,0,0,Elmwood,,19 - 42,Other,Bachelors Degree,,,,,en,156
2018-02-14T19:05:53.000Z,0,0,0,1,0,1,1,0,0,Westcott,,43 - 60,Male,Graduate or Professional Degree,,,"$35,000 - $49,999",,en,157
2018-02-12T23:16:29.000Z,0,1,0,1,0,0,1,0,0,I live outside of the City,,43 - 60,Male,Graduate or Professional Degree,,,"$100,000 - $149,999",,en,158
2018-02-02T14:25:43.000Z,0,0,-1,1,0,1,1,0,0,University Neighborhood,,19 - 42,Female,Some College,US,English,"Less than $10,000",,en,159
2018-02-07T18:26:53.000Z,0,0,1,0,1,0,0,0,1,Meadowbrook,,> 60,Female,Associates Degree,,,"$50,000 - $74,999",,en,160
2018-02-07T17:26:01.000Z,1,0,0,1,0,0,0,1,0,Northside,,43 - 60,Male,Bachelors Degree,,,"$100,000 - $149,999",,en,161
2018-02-15T13:54:53.000Z,0,0,0,1,1,0,1,0,0,I live outside of the City,,> 60,Female,Graduate or Professional Degree,USA,English,"$75,000 - $99,999",,en,162
2018-02-16T00:03:48.000Z,0,1,0,1,0,0,1,0,0,University Hill,,19 - 42,Female,Graduate or Professional Degree,,,"$25,000 - $34,999",,en,163
2018-02-20T15:23:01.000Z,1,0,0,1,0,0,0,0,0,University Neighborhood,,43 - 60,Female,Bachelors Degree,,,,,en,164
2018-02-01T21:19:46.000Z,1,1,-1,0,0,0,1,0,0,Westcott,,19 - 42,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,165
